,bts
0,2020-07-29 13:30:00-04:00
1,2020-09-24 11:30:00-04:00
2,2020-11-03 15:30:00-05:00
3,2020-11-27 13:00:00-05:00
4,2021-01-19 15:30:00-05:00
5,2021-02-04 11:30:00-05:00
6,2021-03-10 14:30:00-05:00
7,2021-03-30 15:30:00-04:00
8,2021-05-17 10:30:00-04:00
9,2021-06-04 10:30:00-04:00
10,2021-07-22 15:30:00-04:00
11,2021-08-03 10:30:00-04:00
12,2021-09-23 12:30:00-04:00
13,2021-10-06 15:30:00-04:00
14,2021-11-16 09:30:00-05:00
15,2021-12-22 13:30:00-05:00
16,2022-01-12 09:30:00-05:00
17,2022-01-27 15:30:00-05:00
18,2022-02-28 14:30:00-05:00
19,2022-03-16 13:30:00-04:00
